Date,pdx,pds,plx,pls,cbx,cbs,cpx,cps
2010-08-01,145,31747.10000000001,163,26332.29000000002,213,34162.57000000003,96,26416.82
2010-09-01,130,33540.35,138,18869.770000000008,177,19347.570000000003,93,34605.61
2010-10-01,114,33707.17999999999,119,16140.960000000003,158,22168.359999999997,74,27016.77999999999
2010-11-01,142,34308.170000000006,108,15347.57,149,28769.559999999998,101,20886.179999999997
2010-12-01,118,24804.17,112,17533.539999999994,131,15781.229999999994,100,31556.480000000003
2011-01-01,169,35061.41,152,27239.210000000014,203,23817.49000000001,121,39604.329999999994
2011-02-01,124,32922.44000000001,107,15371.04,153,21803.35000000001,78,26490.129999999997
2011-03-01,137,39589.35,145,29459.989999999994,179,30071.690000000002,108,41024.649999999994
2011-04-01,142,41066.25999999999,160,19328.130000000005,195,25686.130000000012,107,34309.83
2011-05-01,144,43032.90000000002,161,26913.100000000002,201,35789.640000000014,105,34108.549999999996
2011-06-01,163,42803.019999999975,147,35497.140000000036,193,33843.080000000016,119,50040.82999999998
2011-07-01,161,35066.59,139,23010.210000000003,192,30193.170000000006,111,29669.130000000005
2011-08-01,185,45458.16,180,33093.520000000004,235,44572.15,128,32935.330000000016
2011-09-01,132,27977.07,135,23906.360000000004,184,29325.340000000004,84,24558.089999999997
2011-10-01,185,38221.67,162,35834.6,233,40062.71000000001,115,34133.56000000001
2011-11-01,148,37053.58999999998,112,16302.910000000007,168,25726.32000000001,96,38276.429999999986
2011-12-01,120,26561.360000000015,134,21109.78,160,22529.269999999997,96,29256.490000000016
2012-01-01,208,53350.62000000002,181,58868.87000000001,239,43805.759999999995,149,65052.399999999994
2012-02-01,117,29251.87,160,25870.91000000001,198,35200.3,80,19947.48
2012-03-01,124,31968.99000000001,167,24738.27,192,25567.400000000005,99,31269.110000000004
2012-04-01,136,35203.320000000014,145,26571.160000000003,188,28695.96000000001,94,34023.509999999995
2012-05-01,131,26726.090000000007,173,25461.239999999998,196,30091.21,110,29076.120000000006
2012-06-01,102,25980.729999999996,168,31628.180000000004,167,28051.25,102,29432.659999999993
2012-07-01,150,32932.89000000002,178,30499.73000000001,209,33788.910000000025,119,29643.71000000001
2012-08-01,149,33161.100000000006,164,26260.050000000007,209,30097.86,105,30823.290000000005
2012-09-01,149,44666.069999999985,142,22928.76000000001,192,39395.51999999998,101,30171.89
2012-10-01,164,42293.29000000002,157,28284.440000000002,192,36182.91000000002,128,34144.82
2012-11-01,148,30607.08000000001,159,27383.469999999998,209,32783.92000000001,101,29506.84
2012-12-01,145,34698.58,141,26148.820000000003,188,26766.29,98,32483.740000000005
2013-01-01,139,40545.72000000001,216,40253.45000000001,241,44341.450000000026,116,38527.719999999994
2013-02-01,164,38363.66000000002,132,18152.550000000003,190,30812.140000000003,110,26817.770000000015
2013-03-01,151,43523.159999999996,148,20076.489999999998,212,37815.98999999999,86,25734.660000000003
2013-04-01,145,33002.18000000001,173,32909.760000000024,215,35578.830000000016,103,32225.460000000003
2013-05-01,143,30300.560000000012,148,24389.140000000014,196,30045.370000000028,95,24949.34
2013-06-01,137,25906.950000000008,148,24430.02000000001,200,28255.070000000018,89,23120.810000000005
2013-07-01,105,24679.920000000013,149,19408.210000000003,167,24880.90000000003,88,19244.829999999994
2013-08-01,91,23879.850000000002,144,24702.770000000015,159,23757.590000000004,76,24900.03000000001
2013-09-01,75,15959.61,90,11555.269999999999,129,20320.65,38,7266.21
2013-10-01,42,5875.609999999999,54,5934.469999999998,64,6678.88,32,5131.199999999999
2013-11-01,32,5791.22,30,3215.8499999999995,42,4042.0499999999993,20,4965.019999999999
2013-12-01,22,7082.7699999999995,20,3560.42,26,6521.83,16,4121.36
2014-01-01,182,45156.250000000015,139,24929.700000000004,220,38968.10000000001,100,30217.860000000008
2014-02-01,138,37799.200000000004,115,20548.310000000005,166,27662.440000000013,88,31240.160000000003
2014-03-01,132,33294.99,146,25944.06000000001,195,30809.870000000006,86,28741.18
2014-04-01,152,35479.27000000002,129,17009.249999999993,198,35951.110000000015,85,16779.42
2014-05-01,135,33244.27000000001,116,20156.33,177,28620.510000000017,73,24401.32
2014-06-01,129,59242.31,105,16243.589999999998,161,26688.63,72,46988.97
2014-07-01,131,28611.62000000001,80,14467.669999999995,146,26055.710000000006,66,17601.9
2014-08-01,125,28074.190000000002,91,9458.81,143,19659.53,73,17873.469999999994
2014-09-01,78,12205.2,58,7331.3099999999995,94,12129.589999999998,42,8595.810000000001
2014-10-01,45,8165.120000000001,30,2033.88,49,4721.740000000001,25,4983.46
2014-11-01,29,6453.3,25,4783.75,31,2751.9999999999995,23,8485.05
2014-12-01,15,4465.959999999999,14,2253.5299999999997,14,1964.96,14,4498.53
2015-01-01,167,41012.24000000002,146,27551.73000000001,222,46266.229999999996,95,23000.110000000004
2015-02-01,150,34181.360000000015,102,18766.979999999996,173,25422.70000000001,83,37014.65000000001
2015-03-01,168,39455.58,127,22085.379999999997,192,29536.079999999994,105,34017.24
2015-04-01,139,33476.34000000001,134,22126.010000000013,188,29703.600000000017,87,26246.230000000003
2015-05-01,168,35105.330000000016,105,13432.729999999996,179,27552.770000000008,96,21875.440000000006
2015-06-01,175,39126.86000000001,106,18487.369999999995,188,27526.090000000004,93,34311.020000000004
2015-07-01,174,39408.9,134,14675.139999999994,202,28278.790000000008,106,25805.250000000007
2015-08-01,170,39659.21,121,19609.789999999997,174,25211.380000000012,116,32650.08000000001
2015-09-01,137,31454.770000000004,100,13403.950000000004,159,24196.520000000004,77,20262.2
2015-10-01,127,24885.59,115,10977.099999999997,154,19083.440000000002,87,16615.939999999995
2015-11-01,73,14417.61,67,4622.339999999999,93,8153.629999999999,47,10886.320000000002
2015-12-01,44,5949.860000000001,43,3222.4099999999994,56,4029.8999999999996,31,5142.369999999999
